timestamp,ecg,pnum,condition
1671245034.007,687,4,baseline2
1671245034.694,713,4,baseline2
1671245035.407,702,4,baseline2
1671245036.109,703,4,baseline2
1671245036.812,665,4,baseline2
1671245037.477,681,4,baseline2
1671245038.158,647,4,baseline2
1671245038.805,656,4,baseline2
1671245039.461,680,4,baseline2
1671245040.141,653,4,baseline2
1671245040.794,697,4,baseline2
1671245041.491,661,4,baseline2
1671245042.152,660,4,baseline2
1671245042.812,643,4,baseline2
1671245043.455,652,4,baseline2
1671245044.107,662,4,baseline2
1671245044.769,660,4,baseline2
1671245045.429,664,4,baseline2
1671245046.093,687,4,baseline2
1671245046.78,664,4,baseline2
1671245047.444,688,4,baseline2
1671245048.132,646,4,baseline2
1671245048.778,645,4,baseline2
1671245049.423,656,4,baseline2
1671245050.079,676,4,baseline2
1671245050.755,642,4,baseline2
1671245051.397,660,4,baseline2
1671245052.057,687,4,baseline2
1671245052.744,660,4,baseline2
1671245053.404,699,4,baseline2
1671245054.103,662,4,baseline2
1671245054.765,686,4,baseline2
1671245055.451,663,4,baseline2
1671245056.114,699,4,baseline2
1671245056.813,653,4,baseline2
1671245057.466,652,4,baseline2
1671245058.118,661,4,baseline2
1671245058.779,664,4,baseline2
1671245059.443,686,4,baseline2
1671245060.129,643,4,baseline2
1671245060.772,667,4,baseline2
1671245061.439,695,4,baseline2
1671245062.134,690,4,baseline2
1671245062.824,678,4,baseline2
1671245063.502,693,4,baseline2
1671245064.195,630,4,baseline2
1671245064.825,639,4,baseline2
1671245065.464,630,4,baseline2
1671245066.094,636,4,baseline2
1671245066.73,644,4,baseline2
1671245067.374,646,4,baseline2
1671245068.02,681,4,baseline2
1671245068.701,658,4,baseline2
1671245069.359,705,4,baseline2
1671245070.064,659,4,baseline2
1671245070.723,654,4,baseline2
1671245071.377,667,4,baseline2
1671245072.044,691,4,baseline2
1671245072.735,691,4,baseline2
1671245073.426,702,4,baseline2
1671245074.128,697,4,baseline2
1671245074.825,661,4,baseline2
1671245075.486,668,4,baseline2
1671245076.154,667,4,baseline2
1671245076.821,699,4,baseline2
1671245077.52,655,4,baseline2
1671245078.175,698,4,baseline2
1671245078.873,664,4,baseline2
1671245079.537,703,4,baseline2
1671245080.24,660,4,baseline2
1671245080.9,679,4,baseline2
1671245081.579,667,4,baseline2
1671245082.246,673,4,baseline2
1671245082.919,668,4,baseline2
1671245083.587,660,4,baseline2
1671245084.247,639,4,baseline2
1671245084.886,626,4,baseline2
1671245085.512,612,4,baseline2
1671245086.124,608,4,baseline2
1671245086.732,617,4,baseline2
1671245087.349,647,4,baseline2
1671245087.996,700,4,baseline2
1671245088.696,712,4,baseline2
1671245089.408,732,4,baseline2
1671245090.14,746,4,baseline2
1671245090.886,685,4,baseline2
1671245091.571,734,4,baseline2
1671245092.305,715,4,baseline2
1671245093.02,719,4,baseline2
1671245093.739,720,4,baseline2
1671245094.459,723,4,baseline2
1671245095.182,687,4,baseline2
1671245095.869,712,4,baseline2
1671245096.581,662,4,baseline2
1671245097.243,657,4,baseline2
1671245097.9,659,4,baseline2
1671245098.559,668,4,baseline2
1671245099.227,671,4,baseline2
1671245099.898,701,4,baseline2
1671245100.599,690,4,baseline2
1671245101.289,692,4,baseline2
1671245101.981,662,4,baseline2
1671245102.643,672,4,baseline2
1671245103.315,698,4,baseline2
1671245104.013,653,4,baseline2
1671245104.666,679,4,baseline2
1671245406.918,704,4,stress
1671245407.622,661,4,stress
1671245408.283,693,4,stress
1671245408.976,667,4,stress
1671245409.643,692,4,stress
1671245410.335,623,4,stress
1671245410.958,636,4,stress
1671245411.594,634,4,stress
1671245412.228,641,4,stress
1671245412.869,646,4,stress
1671245413.515,654,4,stress
1671245414.169,623,4,stress
1671245414.792,625,4,stress
1671245415.417,615,4,stress
1671245416.032,604,4,stress
1671245416.636,604,4,stress
1671245417.24,611,4,stress
1671245417.851,620,4,stress
1671245418.471,646,4,stress
1671245419.117,648,4,stress
1671245419.765,644,4,stress
1671245420.409,627,4,stress
1671245421.036,628,4,stress
1671245421.664,633,4,stress
1671245422.297,639,4,stress
1671245422.936,657,4,stress
1671245423.593,636,4,stress
1671245424.229,643,4,stress
1671245424.872,659,4,stress
1671245425.531,631,4,stress
1671245426.162,649,4,stress
1671245426.811,632,4,stress
1671245427.443,626,4,stress
1671245428.069,619,4,stress
1671245428.688,633,4,stress
1671245429.321,658,4,stress
1671245429.979,624,4,stress
1671245430.603,662,4,stress
1671245431.265,628,4,stress
1671245431.893,643,4,stress
1671245432.536,642,4,stress
1671245433.178,633,4,stress
1671245433.811,634,4,stress
1671245434.445,655,4,stress
1671245435.1,654,4,stress
1671245435.754,670,4,stress
1671245436.424,666,4,stress
1671245437.09,634,4,stress
1671245437.724,633,4,stress
1671245438.357,625,4,stress
1671245438.982,623,4,stress
1671245439.605,628,4,stress
1671245440.233,611,4,stress
1671245440.844,614,4,stress
1671245441.458,609,4,stress
1671245442.067,604,4,stress
1671245442.671,581,4,stress
1671245443.252,569,4,stress
1671245443.821,564,4,stress
1671245444.385,569,4,stress
1671245444.954,582,4,stress
1671245445.536,595,4,stress
1671245446.131,604,4,stress
1671245446.735,593,4,stress
1671245447.328,607,4,stress
1671245447.935,594,4,stress
1671245448.529,599,4,stress
1671245449.128,595,4,stress
1671245449.723,592,4,stress
1671245450.315,582,4,stress
1671245450.897,556,4,stress
1671245451.453,551,4,stress
1671245452.004,556,4,stress
1671245452.56,563,4,stress
1671245453.123,579,4,stress
1671245453.702,595,4,stress
1671245454.297,618,4,stress
1671245454.915,629,4,stress
1671245455.544,637,4,stress
1671245456.181,653,4,stress
1671245456.834,671,4,stress
1671245457.505,670,4,stress
1671245458.175,652,4,stress
1671245458.827,646,4,stress
1671245459.473,652,4,stress
1671245460.125,648,4,stress
1671245460.773,646,4,stress
1671245461.419,644,4,stress
